Date,Open,High,Low,Close,Volume
2025-12-02,547.2800,554.7500,541.0400,545.9100,3076100
2025-12-01,547.6400,549.7800,543.3900,543.9700,2227026
2025-11-28,548.1250,551.4000,545.4200,550.5300,1254814
2025-11-26,548.4750,548.6700,544.1700,544.9300,2185287
2025-11-25,541.5000,550.3950,539.0000,546.4700,3132873
2025-11-24,543.4400,544.0400,535.1100,537.8500,5940957
2025-11-21,532.5400,544.4100,531.6700,540.4000,3807738
2025-11-20,533.2900,538.4600,527.1800,527.8800,3240296
2025-11-19,528.1500,531.0000,524.9800,530.3600,2723056
2025-11-18,533.5600,536.0000,524.7000,527.5800,3594931
2025-11-17,546.0000,549.3150,536.2100,536.8500,2558171
2025-11-14,556.0400,557.0000,544.0500,545.7300,2567913
2025-11-13,559.8800,563.6000,554.8600,555.5700,2031717
2025-11-12,560.0000,565.9100,558.4100,561.2300,1761575
2025-11-11,553.0000,558.5300,548.0100,558.3500,1832614
2025-11-10,552.2800,554.7000,548.5800,552.9600,1978473
2025-11-07,553.8000,558.6700,550.6700,551.9700,2510503
2025-11-06,550.1800,555.0000,547.8600,553.2800,2593939
2025-11-05,553.0000,556.3300,549.3660,553.3100,2189509
2025-11-04,544.8300,554.0300,542.4800,552.7500,2653934
2025-11-03,550.0000,551.0000,540.3600,544.0700,3175505
2025-10-31,548.8900,554.4300,543.5300,551.9900,3567142
2025-10-30,551.5600,562.9200,545.6350,553.6800,4284723
2025-10-29,561.6300,566.8099,551.2300,554.5800,3763384
2025-10-28,573.0800,573.9900,565.4500,565.9300,2916366
2025-10-27,575.7200,575.7200,566.4800,572.3600,2980955
2025-10-24,577.2400,580.8200,573.0800,573.6700,1839794
2025-10-23,574.3600,576.9900,571.6700,573.7700,2187513
2025-10-22,571.0500,576.4348,568.5800,571.3600,1820634
2025-10-21,562.1600,575.9800,560.7650,572.0300,2722423
2025-10-20,561.7000,567.4200,553.7900,566.3600,2046523
2025-10-17,552.4900,562.8000,552.0100,560.9700,2756782
2025-10-16,562.8000,564.6500,547.3900,549.8800,3210636
2025-10-15,564.3000,568.6900,559.4000,562.8100,2262667
2025-10-14,556.0000,569.8100,556.0000,567.9200,2627569
2025-10-13,558.0000,565.0000,553.0100,559.2400,2996710
2025-10-10,567.5800,569.4250,556.6900,557.4800,3553872
2025-10-09,577.2400,579.4000,562.5100,564.5500,2580117
2025-10-08,581.3200,583.0700,576.0800,576.4400,1935090
2025-10-07,578.9900,586.0750,578.9100,579.8400,2120731
2025-10-06,579.2300,581.1350,569.2600,578.8100,2573878
2025-10-03,576.4300,583.2200,576.4300,580.4500,2332024
2025-10-02,572.7300,579.8400,570.7700,577.3300,2483584
2025-10-01,565.6800,575.4700,565.0100,573.7700,3685088
2025-09-30,565.8100,570.6300,563.6500,568.8100,2379296
2025-09-29,566.0000,569.3150,562.5100,568.1400,2615759
2025-09-26,566.6200,569.6640,564.0600,565.1300,2106586
2025-09-25,565.0000,572.3900,564.5700,567.3000,2700615
2025-09-24,571.2800,571.6600,564.9500,568.8100,2867508
2025-09-23,585.4500,586.8600,568.2500,569.9700,3223404
2025-09-22,580.9700,587.3450,580.1400,584.4900,3242064
2025-09-19,588.6200,588.8700,581.5100,584.1600,6745326
2025-09-18,596.0800,601.6199,585.8800,586.0500,3294558
2025-09-17,587.7100,598.8900,587.4400,598.6300,2931112
2025-09-16,578.0100,588.1100,576.8300,586.4200,2537009
2025-09-15,582.7300,586.5000,581.5025,582.9600,2222681
2025-09-12,586.4400,589.2100,580.0000,580.4100,2243171
2025-09-11,580.8800,589.9700,580.0100,588.7300,2407151
2025-09-10,582.1300,582.1300,571.0000,579.3800,2535457
2025-09-09,583.5400,591.1800,583.3000,584.0000,2266030
2025-09-08,582.6200,589.7940,580.7000,586.6000,1948397
2025-09-05,595.4700,598.5800,579.0252,584.2200,2432345
2025-09-04,593.0300,595.8900,589.2909,595.6400,1653765
2025-09-03,591.8300,594.0000,588.9600,593.2800,1958059
2025-09-02,595.6200,595.6200,586.0000,591.8700,2284547
2025-08-29,592.0000,596.8300,590.2600,595.2900,2111298
2025-08-28,590.8200,593.5300,589.7200,590.4800,2159985
2025-08-27,591.2100,594.6186,589.8200,590.6600,1480977
2025-08-26,593.0800,596.0000,586.2950,591.6100,4774584
2025-08-25,597.8200,599.0450,592.8600,593.2100,1984330
2025-08-22,595.3000,601.7700,593.0801,598.9600,2389205
2025-08-21,589.0400,592.2100,583.9300,591.9200,2349322
